id,active_period,informed_entity,cause,effect,header_text,description_text
1,[],"[{'agency_id': '1', 'route_id': '701', 'stop_id': ''}, {'agency_id': '1', 'route_id': '702', 'stop_id': ''}, {'agency_id': '1', 'route_id': '706', 'stop_id': ''}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Early Bird Express changes,"For information about changes to Early Bird Express service as a result of the shelter-in-place orders, visit http://www.bart.gov/earlybirdexpress . 
— 
Cambios en el servicio Early Bird Express 
Para más información sobre los cambios en el servicio Early Bird Express como resultado de las ordenes de refugio en el lugar, visite http://www.bart.gov/earlybirdexpress . 
— 
早班车快线调整 
受居家避疫令影响，早班车快线调整，详情请访问http://www.bart.gov/earlybirdexpress"
2,[],"[{'agency_id': '1', 'route_id': 'G', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'J', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'L', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'LA', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'NX', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'OX', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'P', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'U', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'V', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'W', 'stop_id': ''}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Transbay Riders Only,"Only transbay riders are allowed on lines G, J, L, LA, NX, OX, P, U, V, and W. Other Transbay lines allow local riders.  
---  
Sólo para pasajeros de Transbay 

Solamente se permiten pasajeros de transbay en las líneas G, J, L, LA, NX, OX, P, U, V y W. Otras líneas de Transbay permiten pasajeros locales.  
---  
仅限跨湾乘客 

以下线路仅限跨湾乘客搭乘：G, J, L, LA, NX, OX, P, U, V和W。其他跨湾线路允许本地乘客搭乘。"
3,[],"[{'agency_id': '1', 'route_id': '36', 'stop_id': ''}, {'agency_id': '1', 'route_id': '52', 'stop_id': ''}, {'agency_id': '1', 'route_id': 'F', 'stop_id': ''}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,"Detours on Lines 36, 52, and F","Detours on Lines 36, 52, and F 

Due to: Event 

Effective: 5:00 p.m.–11:30 p.m. December 4 

Lines affected: 36, 52, and F 

Please see the AC Transit website for more information: https://www.actransit.org/node/3950  
--- 
Desvíos en las líneas 36, 52 y F el sábado 4 de diciembre 

Debido a: Evento 

Efectivo: 5:00 p.m. – 11:30 p.m. del 4 de diciembre 

Líneas afectadas: 36, 52 y F 

Por favor visite la página web de AC Transit para más información: https://www.actransit.org/es/node/3950  
--- 
12月4日，星期六，36、52和F路巴士绕行 

由于：事件 

开始日期：晚上5:00到下午11:30 12月4日 

受影响线路：36, 52和F 

更多详情，请参考 AC Transit 的网站: https://www.actransit.org/zh/node/3950 "
4,[],"[{'agency_id': '1', 'route_id': '210', 'stop_id': '1069'}]",CONSTRUCTION,STOP_MOVED,Line 210 Stop Closure,"Effective: 8:00 a.m.–4:00 p.m., Monday, November 29 through Saturday, December 4 
Stop closed: Fremont Blvd. at Ferry Lane (Stop ID 58801) 
Please see the AC Transit website for more information: https://www.actransit.org/node/3963 
--- 
Efectivo: 8:00 a.m.–4:00 p.m., desde el lunes, 29 de noviembre hasta el sábado, 4 de diciembre 
Parada cerrada: Fremont Blvd. con Ferry Lane (Número de Identificación de Parada 58801) 
Por favor visite la página web de AC Transit para más información: https://www.actransit.org/es/node/3963 
--- 

生效日期： 11月29日星期一至12月4日星期六，上午8:00-下午4:00 
车站关闭：Fremont Blvd. 和 Ferry Lane 交叉口站(车站ID 58801) 
更多详情，请参考 AC Transit 的网站: https://www.actransit.org/zh/node/3963"
5,[],"[{'agency_id': '1', 'route_id': '620', 'stop_id': ''}]",OTHER_CAUSE,MODIFIED_SERVICE,Schedule for Line 620 adjusted,"Effective August 12, the schedule for afternoon trips on Line 620 has been adjusted in order to better meet bell times at Newark Junior High School.
Please see the AC Transit web site for more information: https://www.actransit.org/node/2289

---
A partir del 12 de agosto, el horario de los viajes por la tarde de la línea 620 se ha ajustado para adecuarse mejor con los horarios escolares de Newark Junior High School. 
Por favor visite la página web de AC Transit para más información: https://www.actransit.org/es/node/2289

---
从8月12日开始，620号线下午的行程安排调整生效，以便更好地协调纽瓦克初中的上下学时间。
更多详情，请参考 AC Transit 的网站:  https://www.actransit.org/zh/node/2289"
6,[],"[{'agency_id': '1', 'route_id': '95', 'stop_id': ''}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Schedule for Line 95 adjusted,"Effective September 7, the trip on Line 95 that leaves Hayward High School at 4:00 p.m. will leave three minutes later, at 4:03 p.m., arriving at Kelly St. & Eddy St. at 4:19 p.m. This trip will continue to operate on Mondays, Tuesdays, Thursdays, and Fridays when school is in session.  
---  
Se ajusta el horario de la línea 95 
A partir del 7 de septiembre, el viaje de la línea 95 que sale de Hayward High School a las 4:00 p.m. saldrá tres minutos más tarde, a las 4:03 p.m., llegando a Kelly St. y Eddy St. a las 4:19 p.m. Este viaje continuará funcionando los lunes, martes, jueves y viernes cuando haya clases.  
---  
95号线时刻表调整 
9月7日起，95号线原定于下午4:00驶离 Hayward High School，现延迟三分钟，于下午4:03发车，于下午4:19到达 Kelly St. & Eddy St.。该行程将在每周一、周二、周四和周五学校开课时运行。"
7,[],"[{'agency_id': '1', 'route_id': '51B', 'stop_id': '5868'}, {'agency_id': '1', 'route_id': '51B', 'stop_id': '5869'}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Line 51B stops closed,"Due to: Construction 

Effective: September 15–December 15 

Line affected: 51B 

Please see the AC Transit website for more information: https://www.actransit.org/node/2785  
--- 
Cierre temporal de paradas de la línea 51B 

Debido a: Trabajos de construcción 

Efectivo: 15 de septiembre al 15 de diciembre 

Línea afectada: 51B 

Por favor visite la página web de AC Transit para más información: https://www.actransit.org/es/node/2785  
--- 
51B路巴士站临时关闭 

由于：施工 

开始日期：9月15日–12月15日 

受影响线路：51B路 

更多详情，请参考 AC Transit 的网站: https://www.actransit.org/zh/node/2785 "
8,[],"[{'agency_id': '1', 'route_id': '', 'stop_id': '4856'}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Hesperian at W. Sunset Closed,"Effective: January 6 until further notice
Lines affected: 93 and 97
Stop closed: Hesperian Blvd. at West Sunset Blvd. (Stop ID 57070)
Please see the AC Transit website for more information: http://www.actransit.org/?p=99560 
--- 
Parada cerrada en Hesperian Blvd. con West Sunset Blvd.
Efectivo: 6 de enero hasta nuevo aviso
Líneas afectadas: 93 y 97
Parada cerrada: Hesperian Blvd. con West Sunset Blvd. (Número de Identificación de Parada 57070)
Por favor visite la página web de AC Transit para más información: http://www.actransit.org/?p=99560 
--- 
Hesperian Blvd. 和 West Sunset Blvd. 交叉口站
生效日期：1月6日，直到另行通知
受影响线路：93和97路
受影响车站：Hesperian Blvd. 和 West Sunset Blvd. 交叉口站 (车站ID 57070)
更多详情，请参考 AC Transit 的网站: http://www.actransit.org/?p=99560"
9,[],"[{'agency_id': '1', 'route_id': '212', 'stop_id': '1397'}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Extended: Line 212 Stop Closure,"Due to: Construction  

Effective: 8:00 a.m.–5:00 p.m. daily November 1–December 10 

Please see the AC Transit website for more information: https://www.actransit.org/node/3540  
---  
Extendido: Cierre de parada de la línea 212 

Debido a: Trabajos de construcción  

Efectivo: 8:00 a.m.–5:00 p.m. diario del 1 de noviembre al 10 de diciembre 

Por favor visite la página web de AC Transit para más información: https://www.actransit.org/es/node/3540  
---  
延期：212路车站关闭 

由于：施工 

生效日期：11月1日–12月10日，每天早上8:00到下午5:00 

更多详情，请参考 AC Transit 的网站: https://www.actransit.org/zh/node/3540 "
10,[],"[{'agency_id': '1', 'route_id': '', 'stop_id': '211'}, {'agency_id': '1', 'route_id': '', 'stop_id': '203'}]",UNKNOWN_CAUSE,UNKNOWN_EFFECT,Posey Tube Closure Dec. 2-3,"Effective: 10:00 p.m. Dec. 2–5:00 a.m. Dec. 3 

Lines affected: 20, 51A, 96, 851, and O 

Please see the AC Transit website for more information:  
https://www.actransit.org/node/3947  
--- 
Cierres nocturnos del túnel Posey

Efectivo: 10:00 p.m. 2 de diciembre a 5:00 a.m. 3 de diciembre 

Líneas afectadas: 20, 51A, 96, 851 y O 

Por favor visite la página web de AC Transit para más información:  
https://www.actransit.org/es/node/3947  
--- 
波西隧道（Posey Tube）于夜间关闭

开始日期：12月2日晚上10:00，到12月3日早上5:55 
 
受影响线路：20, 51A, 96, 851和O路 

更多详情，请参考 AC Transit 的网站:  
https://www.actransit.org/zh/node/3947 "
