id,active_period,informed_entity,cause,effect,header_text,description_text
293631,['start: 1549051324 '],"[{'agency_id': '', 'route_id': '', 'stop_id': '70023'}, {'agency_id': '', 'route_id': '', 'stop_id': '70041'}]",UNKNOWN_CAUSE,OTHER_EFFECT,"State Elevator 802 (Oak Grove platform to Forest Hills, Wonderland platforms) unavailable",Please use adjacent State Street Elevator 967.
301925,['start: 1554107400 '],"[{'agency_id': '1', 'route_id': '210', 'stop_id': ''}, {'agency_id': '1', 'route_id': '238', 'stop_id': ''}]",CONSTRUCTION,DETOUR,Routes 210 and 238 are detoured due to construction at Quincy Adams busway. Buses will pick up/drop off on Independence Ave where customers may use the existing pedestrian pathway to access Quincy Adams Station.,"Connections in both directions can be made at:
Franklin St @ Water St
Independence Ave @ Verchild St (Route 230 stops)
Centre St @ Liberty St

Missed stops:
Liberty St @ Water St (outbound)
Liberty St @ Penn St (outbound)
Quincy Adams (outbound)
Quincy Adams (inbound)
Liberty St @ Penn St (inbound)
Liberty St @ Water St (inbound)

Learn more at: mbta.com/southshore"
315842,['start: 1560206517 '],"[{'agency_id': '', 'route_id': '', 'stop_id': '70070'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-cntsq-ibmass'}]",MAINTENANCE,OTHER_EFFECT,Central Escalator 360 (Alewife platform to street) unavailable due to maintenance,
346133,['start: 1576056600 '],"[{'agency_id': '', 'route_id': '', 'stop_id': '70103'}, {'agency_id': '', 'route_id': '', 'stop_id': '70104'}]",UNKNOWN_CAUSE,OTHER_EFFECT,Quincy Adams Elevator 807 (lobby to parking garage) is closed for replacement.,Please see station personnel or use a station call box for assistance.
352844,['start: 1578936770 '],"[{'agency_id': '', 'route_id': '', 'stop_id': '70103'}, {'agency_id': '', 'route_id': '', 'stop_id': '70104'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-qamnl-burgin'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-qamnl-indep'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-qamnl-pickup'}]",CONSTRUCTION,OTHER_EFFECT,The two outer lanes at the Quincy Adams Garage toll plaza over Centre St are closed until further notice. Repairing the bridge is part of the South Shore Garage Project. More: https://www.mbta.com/south-shore-garages,
352912,['start: 1578999288 '],"[{'agency_id': '1', 'route_id': '57', 'stop_id': '962'}]",CONSTRUCTION,STOP_MOVED,Brighton Ave @ Linden St stop will relocate from the near to far side of Linden Street; to the front of 101-111 Brighton Avenue until futher notice due to ongoing construction.,"Affected routes:
57
57A"
360721,['start: 1585320097 '],"[{'agency_id': '', 'route_id': '', 'stop_id': '141'}, {'agency_id': '', 'route_id': '', 'stop_id': '70061'}, {'agency_id': '', 'route_id': '', 'stop_id': '9070061'}, {'agency_id': '', 'route_id': '', 'stop_id': 'Alewife-01'}, {'agency_id': '', 'route_id': '', 'stop_id': 'Alewife-02'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-alfcl-alewife'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-alfcl-busway'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-alfcl-cambridgepark'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-alfcl-russell'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-alfcl-steel'}]",CONSTRUCTION,OTHER_EFFECT,"The Alewife Garage may have additional spaces taken to accelerate repairs while the demand for parking is low. Once parking demand increases, these spaces will be made available again to our riders.",
361304,['start: 1586266713 '],"[{'agency_id': '', 'route_id': '', 'stop_id': '70079'}, {'agency_id': '', 'route_id': '', 'stop_id': '70080'}, {'agency_id': '', 'route_id': '', 'stop_id': '74611'}, {'agency_id': '', 'route_id': '', 'stop_id': '74617'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-atlantic'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-bus'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-dewey'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-finctr'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-main'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-outmain'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-reserve'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-summer'}, {'agency_id': '', 'route_id': '', 'stop_id': 'door-sstat-usps'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-01'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-02'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-03'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-04'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-05'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-06'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-07'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-08'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-09'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-10'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-11'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-12'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-13'}, {'agency_id': '', 'route_id': '', 'stop_id': 'NEC-2287-B'}]",CONSTRUCTION,OTHER_EFFECT,South Station Pedal & Park is closed due to construction. New bicycle racks are currently available on Atlantic Ave adjacent to the South Station main entrance.,
363926,['start: 1591173000 '],"[{'agency_id': '1', 'route_id': 'Green-E', 'stop_id': ''}]",CONSTRUCTION,UNKNOWN_EFFECT,Shuttle buses replace Green Line service between North Station and Lechmere until Spring 2022 to allow for work on the Green Line Extension and the Lechmere Viaduct Rehabilitation Project.,"The shuttle buses at North Station are located on Nashua St at the entrance to Avalon North Station. Please allow for extra travel time. All shuttle buses and stops are accessible.

Affected stops:
Lechmere
Science Park/West End
North Station"
364390,['start: 1592728200 '],"[{'agency_id': '1', 'route_id': '325', 'stop_id': ''}]",UNKNOWN_CAUSE,DETOUR,Route 325 service remains suspended until further notice. Riders can use Routes 100 or 101 to connect to the Orange Line for downtown service.,
