id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
1,962020,72M,0,,,SCHEDULED,6112,,,37.9354248046875,-122.34571838378906,109.0,0.0,0.0,16,3998,INCOMING_AT,1638211315,UNKNOWN_CONGESTION_LEVEL,
2,3774020,33,0,,,SCHEDULED,1583,,,37.822845458984375,-122.20763397216797,314.0,0.0,0.0,44,3309,INCOMING_AT,1638211317,UNKNOWN_CONGESTION_LEVEL,
3,307020,40,0,,,SCHEDULED,1462,,,37.77046203613281,-122.18162536621094,282.0,0.0,0.0,37,3729,INCOMING_AT,1638211303,UNKNOWN_CONGESTION_LEVEL,MANY_SEATS_AVAILABLE
4,5778020,36,0,,,SCHEDULED,1340,,,37.80492401123047,-122.2931137084961,288.0,0.0,0.44703999161720276,1,5613,IN_TRANSIT_TO,1638211311,UNKNOWN_CONGESTION_LEVEL,
5,1862020,21,0,,,SCHEDULED,1460,,,37.76341247558594,-122.24348449707031,213.0,0.0,4.917439937591553,21,183,INCOMING_AT,1638211305,UNKNOWN_CONGESTION_LEVEL,MANY_SEATS_AVAILABLE
6,7869020,96,0,,,SCHEDULED,1581,,,37.775238037109375,-122.27864074707031,272.0,0.0,8.046719551086426,37,72,INCOMING_AT,1638211312,UNKNOWN_CONGESTION_LEVEL,
7,6094020,6,0,,,SCHEDULED,1580,,,37.87144088745117,-122.26660919189453,258.0,0.0,0.0,1,6116,STOPPED_AT,1638211307,UNKNOWN_CONGESTION_LEVEL,
8,706020,12,0,,,SCHEDULED,1338,,,37.88054275512695,-122.28641510009766,105.0,0.0,5.811520099639893,8,523,INCOMING_AT,1638211313,UNKNOWN_CONGESTION_LEVEL,
9,2828020,14,0,,,SCHEDULED,1459,,,37.79557800292969,-122.21648406982422,270.0,0.0,4.023359775543213,19,5268,INCOMING_AT,1638211311,UNKNOWN_CONGESTION_LEVEL,
10,1976020,1T,0,,,SCHEDULED,2306,,,37.7751350402832,-122.22068786621094,301.0,0.0,12.070079803466797,21,6181,INCOMING_AT,1638211310,UNKNOWN_CONGESTION_LEVEL,
11,8337020,14,0,,,SCHEDULED,1337,,,37.795677185058594,-122.24708557128906,318.0,0.0,1.3411200046539307,35,2682,INCOMING_AT,1638211310,UNKNOWN_CONGESTION_LEVEL,MANY_SEATS_AVAILABLE
12,13473020,51B,0,,,SCHEDULED,1579,,,37.871788024902344,-122.27152252197266,254.0,0.0,1.3411200046539307,17,753,INCOMING_AT,1638211309,UNKNOWN_CONGESTION_LEVEL,
13,13958020,54,0,,,SCHEDULED,1458,,,37.7985954284668,-122.18529510498047,280.0,0.0,14.7523193359375,6,3383,INCOMING_AT,1638211314,UNKNOWN_CONGESTION_LEVEL,
14,-1032524505,72R,0,,,ADDED,1216,,,37.96604919433594,-122.34471130371094,197.0,0.0,9.834879875183105,3,4567,IN_TRANSIT_TO,1638211308,UNKNOWN_CONGESTION_LEVEL,
15,5291020,45,0,,,SCHEDULED,1457,,,37.77925109863281,-122.17539978027344,105.0,0.0,3.576319932937622,53,2976,INCOMING_AT,1638211310,UNKNOWN_CONGESTION_LEVEL,
16,5698020,51B,0,,,SCHEDULED,1578,,,37.86330795288086,-122.31626892089844,173.0,0.0,0.0,1,644,INCOMING_AT,1638211310,UNKNOWN_CONGESTION_LEVEL,
17,6477020,62,0,,,SCHEDULED,1336,,,37.8045654296875,-122.29095458984375,283.0,0.0,7.599679946899414,1,3610,IN_TRANSIT_TO,1638211317,UNKNOWN_CONGESTION_LEVEL,
18,818020,76,0,,,SCHEDULED,1215,,,37.92469787597656,-122.31674194335938,328.0,0.0,0.0,1,862,STOPPED_AT,1638211317,UNKNOWN_CONGESTION_LEVEL,
19,1632020,,0,,,SCHEDULED,2304,,,37.81172180175781,-122.27375030517578,172.0,0.0,0.44703999161720276,1,6172,IN_TRANSIT_TO,1638211312,UNKNOWN_CONGESTION_LEVEL,
20,2658020,51B,0,,,SCHEDULED,1577,,,37.868141174316406,-122.25447845458984,86.0,0.0,0.0,20,389,INCOMING_AT,1638211308,UNKNOWN_CONGESTION_LEVEL,
21,2516020,62,0,,,SCHEDULED,1335,,,37.79442596435547,-122.25749969482422,138.0,0.0,11.623040199279785,16,2211,INCOMING_AT,1638211306,UNKNOWN_CONGESTION_LEVEL,
