id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
1638211327_17112,9414872__MCOB-DO:121:0:Weekday:2:21SEP:41024:12345,101,1,,20211129,SCHEDULED,17112,,,47.79745101928711,-122.3331527709961,0.0,0.0,0.0,10,1013,IN_TRANSIT_TO,1638211248,UNKNOWN_CONGESTION_LEVEL,
1638211327_11116,9414908__MCOB-DO:121:0:Weekday:2:21SEP:41010:12345,101,0,,20211129,SCHEDULED,11116,,,47.82059860229492,-122.31575012207031,0.0,0.0,0.0,20,1503,IN_TRANSIT_TO,1638211263,UNKNOWN_CONGESTION_LEVEL,
1638211327_19115,9414909__MCOB-DO:121:0:Weekday:2:21SEP:41026:12345,101,0,,20211129,SCHEDULED,19115,,,47.88013458251953,-122.23841857910156,0.0,0.0,0.0,1,2105,STOPPED_AT,1638211256,UNKNOWN_CONGESTION_LEVEL,
1638211327_19123,9414978__MCOB-DO:121:0:Weekday:2:21SEP:41006:12345,105,1,,20211129,SCHEDULED,19123,,,47.8491325378418,-122.21720123291016,0.0,0.0,0.0,22,987,IN_TRANSIT_TO,1638211248,UNKNOWN_CONGESTION_LEVEL,
1638211327_11108,9415559__MCOB-DO:121:0:Weekday:2:21SEP:41021:12345,109,1,,20211129,SCHEDULED,11108,,,47.877967834472656,-122.1960678100586,0.0,0.0,0.0,14,172,IN_TRANSIT_TO,1638211263,UNKNOWN_CONGESTION_LEVEL,
1638211327_28101,9415568__MCOB-DO:121:0:Weekday:2:21SEP:41022:12345,109,0,,20211129,SCHEDULED,28101,,,47.87803268432617,-122.18628692626953,0.0,0.0,0.0,25,1558,IN_TRANSIT_TO,1638211250,UNKNOWN_CONGESTION_LEVEL,
1638211327_19118,9415594__MCOB-DO:121:0:Weekday:2:21SEP:41033:12345,109,0,,20211129,SCHEDULED,19118,,,47.998931884765625,-122.10441589355469,0.0,0.0,0.0,1,2666,STOPPED_AT,1638211255,UNKNOWN_CONGESTION_LEVEL,
1638211327_11111,9415181__MCOB-DO:121:0:Weekday:2:21SEP:41005:12345,112,0,,20211129,SCHEDULED,11111,,,47.85295104980469,-122.25865173339844,0.0,0.0,0.0,1,2162,STOPPED_AT,1638211249,UNKNOWN_CONGESTION_LEVEL,
1638211327_17100,9415543__MCOB-DO:121:0:Weekday:2:21SEP:41014:12345,112,1,,20211129,SCHEDULED,17100,,,47.78521728515625,-122.31261444091797,0.0,0.0,0.0,1,3269,STOPPED_AT,1638211255,UNKNOWN_CONGESTION_LEVEL,
1638211327_11105,9415103__MCOB-DO:121:0:Weekday:2:21SEP:41031:12345,113,1,,20211129,SCHEDULED,11105,,,47.864200592041016,-122.29004669189453,0.0,0.0,0.0,18,1566,IN_TRANSIT_TO,1638211256,UNKNOWN_CONGESTION_LEVEL,
