id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
1638211328_2870,1203188,10815,1,,20211129,SCHEDULED,2870,A12,,41.670528411865234,-72.85243225097656,90.0,0.0,17.0,0,,IN_TRANSIT_TO,1638211306,UNKNOWN_CONGESTION_LEVEL,
1638211328_3345,1203297,10816,0,,20211129,SCHEDULED,3345,8502,,41.70310974121094,-72.87841033935547,45.0,0.0,8.0,0,,IN_TRANSIT_TO,1638211289,UNKNOWN_CONGESTION_LEVEL,
1638211328_2865,1203315,10816,1,,20211129,SCHEDULED,2865,A7,,41.679630279541016,-72.80406951904297,90.0,0.0,4.0,0,,IN_TRANSIT_TO,1638211280,UNKNOWN_CONGESTION_LEVEL,
1638211328_2859,1203445,10817,1,,20211129,SCHEDULED,2859,A1,,41.66973876953125,-72.79386901855469,90.0,0.0,4.0,0,,IN_TRANSIT_TO,1638211292,UNKNOWN_CONGESTION_LEVEL,
1638211328_3346,1203576,10818,1,,20211129,SCHEDULED,3346,8503,,41.711280822753906,-72.8092269897461,180.0,0.0,4.0,0,,IN_TRANSIT_TO,1638211300,UNKNOWN_CONGESTION_LEVEL,
1638211328_2863,1203700,10819,1,,20211129,SCHEDULED,2863,A5,,41.688690185546875,-72.77509307861328,180.0,0.0,6.0,0,,IN_TRANSIT_TO,1638211287,UNKNOWN_CONGESTION_LEVEL,
1638211328_3000,1203837,10820,1,,20211129,SCHEDULED,3000,A23,,41.672019958496094,-72.75530242919922,180.0,0.0,0.0,0,,IN_TRANSIT_TO,1638211298,UNKNOWN_CONGESTION_LEVEL,
1638211328_2871,1204090,10822,1,,20211129,SCHEDULED,2871,A13,,41.66539001464844,-72.7812728881836,315.0,0.0,8.0,0,,IN_TRANSIT_TO,1638211277,UNKNOWN_CONGESTION_LEVEL,
1638211328_2447,1423458,12324,0,,20211129,SCHEDULED,2447,1447,,41.767520904541016,-72.6780776977539,270.0,0.0,6.0,0,,IN_TRANSIT_TO,1638211296,UNKNOWN_CONGESTION_LEVEL,
1638211328_2467,1423465,12324,0,,20211129,SCHEDULED,2467,1467,,41.735618591308594,-72.72087860107422,225.0,0.0,15.0,0,,IN_TRANSIT_TO,1638211304,UNKNOWN_CONGESTION_LEVEL,
