id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
y2009,49299824,70,0,,,SCHEDULED,y2009,2009,,42.375831604003906,-71.23704528808594,0.0,0.0,0.0,1,86944,IN_TRANSIT_TO,1638211306,UNKNOWN_CONGESTION_LEVEL,
y1857,49183090,45,1,13:40:00,20211129,SCHEDULED,y1857,1857,,42.3050537109375,-71.08464050292969,0.0,0.0,0.0,3,384,IN_TRANSIT_TO,1638211314,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1709,49321922,21,0,,,SCHEDULED,y1709,1709,,42.28363037109375,-71.0647201538086,189.0,0.0,0.0,2,536,IN_TRANSIT_TO,1638211323,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1649,49323447,37,0,13:20:00,20211129,SCHEDULED,y1649,1649,,42.28693771362305,-71.14994812011719,357.0,0.0,0.0,17,805,IN_TRANSIT_TO,1638211324,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0657,49466248,137,0,13:25:00,20211129,SCHEDULED,y0657,0657,,42.45564651489258,-71.06491088867188,23.0,0.0,0.0,19,9228,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,
y1799,49183058,18,0,,20211129,SCHEDULED,y1799,1799,,42.284358978271484,-71.06414031982422,315.0,0.0,0.0,1,334,IN_TRANSIT_TO,1638211271,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0871,49371021,117,1,,20211129,SCHEDULED,y0871,0871,,42.369503021240234,-71.039306640625,180.0,0.0,0.0,1,5740,IN_TRANSIT_TO,1638211284,UNKNOWN_CONGESTION_LEVEL,
y3112,49370521,114,1,13:31:00,20211129,SCHEDULED,y3112,3112,,42.37533950805664,-71.03917694091797,182.0,0.0,0.0,15,5736,IN_TRANSIT_TO,1638211322,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0846,49177709,747,1,13:00:00,20211129,SCHEDULED,y0846,0846,,42.337711334228516,-71.09546661376953,74.0,0.0,0.0,17,1784,IN_TRANSIT_TO,1638211327,UNKNOWN_CONGESTION_LEVEL,EMPTY
y2083,49299451,64,0,13:21:00,20211129,SCHEDULED,y2083,2083,,42.35662841796875,-71.13020324707031,244.0,0.0,0.0,15,1193,IN_TRANSIT_TO,1638211323,UNKNOWN_CONGESTION_LEVEL,EMPTY
G-10112,49246578-20:45-2BKHFenwayReservoirGLBNoGLX,Green-D,1,13:07:00,20211129,SCHEDULED,G-10112,3861-3716,,42.35157012939453,-71.07167053222656,60.0,0.0,0.0,580,70156,STOPPED_AT,1638211280,UNKNOWN_CONGESTION_LEVEL,
